Compound,MW,LogP,HBD,HBA,Aromatic_Ring_Number,TPSA,RotB,QED,Formal_Charge,SA_score,PAINS,BRENK,NIH,Solubility_AqSolDB,hERG,Caco2_Wang,BBB_Martins,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,PAMPA_NCATS,PPBR_AZ,Structural_flag,ADMET_flag
O=C(COc1ccccc1O)NNC(=O)C1(C(=O)O)C=CCC1,320.3,0.34,4,5,1,124.96,5,0.35,0,3.18,False,True,False,-2.61,0.03,-5.68,0.48,-2.04,7.15,0.05,77.47,True,True
CC1(C)CC1CCn1cc(C2=CCS(=O)(=O)C2)ccc1=O,307.42,2.1,0,3,1,56.14,4,0.86,0,3.68,False,False,False,-3.29,0.39,-4.52,0.85,36.83,20.43,0.83,69.36,False,True
CN(Cc1cccc(Cl)c1Cl)C(=O)c1coc(Sc2ncccn2)n1,395.27,4.19,0,6,3,72.12,5,0.6,0,2.78,False,False,False,-3.4,0.24,-4.61,0.79,105.96,78.57,0.96,89.13,False,True
CS(=O)(=O)N1CC(CNC(=O)c2cc[nH]c2C(=O)O)C1,301.32,-0.67,3,4,1,119.57,5,0.67,0,2.75,False,False,False,-1.75,0.03,-5.53,0.63,-2.26,-3.17,0.05,45.61,True,True
Cc1c(F)cccc1C#CCNc1ccnc(-n2ccnc2C)n1,321.36,2.88,1,4,3,55.63,3,0.75,0,2.88,False,True,False,-4.97,0.89,-4.64,0.74,69.44,52.81,0.95,95.53,True,True
O=C1CC2(CCCCCC2)CC(=O)N1CC(O)C1(O)COC1,311.38,0.6,2,5,0,87.07,3,0.75,0,3.96,False,True,False,-2.9,0.15,-4.96,0.84,41.38,30.64,0.78,63.71,True,True
O=c1c2ccccc2nnn1Cc1cnc(-c2ccccc2)nc1,315.34,2.3,0,5,4,73.56,3,0.58,0,2.04,False,False,False,-4.42,0.29,-4.79,0.92,61.02,42.93,0.94,92.57,False,True
O=C(NCC1CC(F)(F)C1)c1nnc(Cc2c(F)cccc2Cl)o1,359.74,3.23,1,4,2,68.02,5,0.89,0,2.81,False,False,False,-4.86,0.31,-4.5,0.95,40.92,33.74,0.98,95.25,False,True
COC(=O)C1(S(C)(=O)=O)CN(C(=O)C(=O)NCCCCCC2CC2)C1,374.46,-0.13,1,6,0,109.85,8,0.36,0,2.81,False,True,True,-2.91,0.31,-4.71,0.94,37.76,49.86,0.92,75.73,True,True
O=C(O)C(ONS(=O)(=O)c1ccc(C2CCCCC2)cc1)C1CC1,353.44,2.81,2,4,1,92.7,7,0.74,0,3.0,False,True,False,-3.62,0.22,-5.28,0.5,18.48,17.86,0.53,95.18,True,True
COc1ccc(NC(=O)NCc2nnc(SC)s2)cn1,311.39,1.99,2,7,2,89.03,5,0.82,0,2.44,False,False,False,-3.65,0.09,-4.96,0.76,83.44,62.09,0.89,91.48,False,True
O=C(CN1CCS(=O)(=O)CC1)Nc1[nH]nnc1C(=O)N1CCCC1,356.41,-1.29,2,7,1,128.36,4,0.69,0,2.93,False,False,False,-2.13,0.03,-5.41,0.9,17.04,11.43,0.65,43.35,True,True
CN(C)Cc1ccc(CNC(=O)C(F)=Cc2cnn(C)n2)cc1,317.37,1.5,1,4,2,63.05,6,0.82,0,2.85,False,True,False,-1.95,0.45,-5.17,0.85,12.08,20.93,0.86,45.14,True,False
O=C(CN(Cc1ccoc1)C1CCCCC1)C1CCS(=O)(=O)C1,339.46,2.42,0,5,1,67.59,6,0.8,0,3.29,False,False,False,-2.67,0.75,-4.71,0.92,49.66,32.14,0.78,61.05,False,True
CS(=O)(=O)CC1(CNC(=O)CNc2ccccn2)CC(F)(F)C1,347.39,1.07,2,5,1,88.16,7,0.77,0,2.99,False,False,False,-2.59,0.23,-5.0,0.8,12.97,12.74,0.48,56.78,False,True
O=C1CSC(C(=O)NCCOCCn2cc(C3CCCC(F)(F)C3)nn2)C1,402.47,1.78,1,6,1,86.11,8,0.67,0,4.12,False,True,False,-2.67,0.15,-5.08,0.89,27.14,33.3,0.94,61.85,True,True
O=C(NC1CCCC1(F)F)c1cscc1SCc1ccccc1,353.46,4.96,1,3,2,29.1,5,0.77,0,3.26,False,False,False,-4.53,0.49,-4.62,0.92,70.92,60.12,0.96,93.27,False,True
CC(C(=O)NNc1cncc(F)n1)c1ccnc(C(F)(F)F)c1,329.26,2.28,2,5,2,79.8,4,0.66,0,3.46,False,True,False,-3.3,0.38,-4.88,0.72,-3.18,2.24,0.94,74.43,True,False
CN(C)Cc1cccc(-c2cccc(CSc3ncccn3)c2)c1,335.48,4.5,0,4,3,29.02,6,0.49,0,2.09,False,False,False,-4.09,0.9,-4.72,0.93,70.92,46.31,0.92,92.38,False,True
O=C(Cn1cccc(O)c1=O)NCC#Cc1ccc(I)cc1,408.19,1.33,2,3,2,71.33,3,0.59,0,2.58,False,True,False,-4.06,0.33,-4.7,0.45,31.57,1.84,0.59,92.74,True,True
O=C(Nc1cnc(Cc2ccccc2)nc1)C1CNCCS(=O)(=O)C1,360.44,0.64,2,6,2,101.05,4,0.83,0,3.07,False,False,False,-2.38,0.13,-5.34,0.72,20.42,-6.7,0.48,59.69,False,True
CON(CCSc1ccc(F)cc1F)Cc1ccc(C)o1,313.37,4.02,0,4,2,25.61,7,0.57,0,2.75,False,True,False,-3.86,0.85,-4.21,0.98,120.56,90.76,0.98,78.31,True,True
CCC(OC(=O)Cc1c(C)noc1Cl)c1ccc(F)cc1F,329.73,4.15,0,4,2,52.33,5,0.77,0,3.09,False,False,False,-4.38,0.37,-4.35,0.97,94.79,83.02,0.98,90.58,False,True
CN(C)c1cc(Cn2ccc(Br)cc2=O)ccn1,308.18,2.12,0,3,2,38.13,3,0.87,0,2.48,False,False,False,-2.23,0.61,-4.5,0.86,42.55,18.9,0.94,59.0,False,True
O=C(Nc1ccc(I)c(Br)c1)c1ccccc1-c1nnn[nH]1,470.07,3.49,2,4,3,83.56,3,0.57,0,2.52,False,True,False,-5.45,0.5,-5.0,0.68,48.03,23.43,0.9,98.89,True,True
CC(C)(C)c1ocnc1COC(=O)c1ccc(CC#N)c(Cl)c1,332.79,4.05,0,5,2,76.12,4,0.79,0,2.86,False,False,False,-5.43,0.41,-4.48,0.74,159.19,145.82,0.97,99.55,False,True
COC(=O)C1CCCC1NC(=O)Nc1ncc(SCc2ccccc2)s1,391.52,3.9,2,6,2,80.32,6,0.58,0,3.15,False,False,False,-5.11,0.49,-4.74,0.67,76.77,65.01,0.93,100.74,False,True
Cc1ccc(CC(O)CNCc2ccnc(N(C)C)n2)c(C)c1,314.43,1.85,2,5,2,61.28,7,0.82,0,2.9,False,False,False,-2.94,0.92,-5.18,0.82,56.28,45.39,0.95,77.14,False,True
CC(C)(CNC(=O)C=Cc1cccc(OC2CCCC2)c1)c1nnn[nH]1,355.44,2.63,2,5,2,92.79,7,0.74,0,2.9,False,True,False,-4.1,0.69,-5.53,0.62,28.37,30.6,0.84,93.92,True,True
Cc1cnccc1CC(C)NC(=O)COc1c(C)ncnc1C,314.39,1.92,1,5,2,77.0,6,0.88,0,2.98,False,False,False,-1.95,0.44,-4.89,0.91,37.62,28.34,0.98,53.19,False,True
Cc1ccc(OCC(C)NC(=O)CCc2nc(Br)cs2)cc1,383.31,3.73,1,4,2,51.22,7,0.79,0,2.74,False,False,False,-3.96,0.63,-4.64,0.94,93.99,68.53,0.97,95.26,False,True
COc1c(NC(=O)NNc2ncc(C)cn2)ccc(F)c1F,309.28,2.22,3,5,2,88.17,4,0.75,0,2.55,False,True,False,-3.35,0.19,-4.69,0.59,44.88,29.17,0.76,74.64,True,True
O=C(CN(Cc1nccs1)CC1CC1)NCCc1nnn[nH]1,321.41,0.23,2,7,2,99.69,9,0.69,0,2.91,False,False,False,-2.21,0.31,-5.83,0.81,27.76,19.66,0.62,52.55,False,True
CC(C)OCc1ccc(CNC(=O)COc2cc(C(F)(F)F)nn2C)cc1,385.39,3.06,1,4,2,65.38,8,0.76,0,2.44,False,False,False,-3.54,0.66,-4.84,0.95,66.65,70.21,0.99,88.22,False,True
CCn1ncnc1COC(=O)CCC(=O)c1ccc(C)c(C)c1,315.37,2.62,0,5,2,74.08,7,0.58,0,2.25,False,False,False,-3.4,0.5,-4.72,0.98,117.94,94.43,0.99,83.65,False,True
O=C(C1CCCCC1)N1CC(NC(=O)C2(O)CCSC2)C1,312.44,0.76,2,4,0,69.64,3,0.81,0,3.31,False,False,False,-2.17,0.21,-4.86,0.91,28.17,23.71,0.84,50.51,False,True
CC(C)(C)C(NS(C)(=O)=O)C(=O)Nn1cnnc1SCc1ccc(Cl)cc1,431.97,2.26,2,6,2,105.98,7,0.65,0,3.26,False,False,False,-3.58,0.4,-5.19,0.61,35.19,36.53,0.92,93.72,False,True
Cc1nc(CNc2cnc(N)c(Cl)n2)ncc1Br,329.59,2.19,2,6,2,89.61,3,0.9,0,2.98,False,False,False,-3.64,0.33,-5.04,0.9,49.47,31.07,0.96,83.96,False,True
Cc1ccncc1CNC(=O)NNc1ccnc(N(C)C)n1,301.35,1.07,3,6,2,95.07,5,0.72,0,2.67,False,True,False,-3.04,0.61,-5.35,0.56,46.99,44.69,0.85,74.68,True,True
Cn1ccnc1C(O)C(=O)Nc1cccc(Br)n1,311.14,1.25,2,4,2,80.04,3,0.84,0,3.11,False,True,False,-1.77,0.15,-5.02,0.65,21.82,-8.13,0.54,59.94,True,True
Cc1cc(CNC(=O)Nc2ccc(N(C)C)cc2F)sn1,308.38,2.98,2,4,2,57.26,4,0.91,0,2.5,False,False,False,-2.97,0.72,-4.81,0.86,59.42,48.74,0.97,70.93,False,True
CCCCCCCSc1ccc(C(=O)NC(C)Cc2nnn[nH]2)cc1,361.52,3.62,2,5,2,83.56,11,0.47,0,2.97,False,True,False,-4.65,0.53,-5.49,0.73,25.78,21.63,0.9,95.41,True,True
Cc1[nH]cc(CCC(=O)Oc2ccc(OC3CCCC3)cc2)c1S(C)(=O)=O,391.49,3.59,1,5,2,85.46,7,0.58,0,2.59,False,True,False,-5.5,0.58,-4.51,0.82,100.08,87.47,0.94,104.26,True,True
Cn1c(=NNC(=O)C2(C)CC=CCC2)sc2ccccc21,301.41,2.92,1,3,2,46.39,2,0.67,0,3.47,False,True,False,-5.03,0.66,-4.66,0.94,84.76,75.5,0.98,99.13,True,True
CCCCc1cnc(NC(=O)c2cc(S(=O)(=O)F)c(Cl)o2)nc1,361.78,2.98,1,6,2,102.16,6,0.79,0,2.8,False,False,True,-4.77,0.13,-4.77,0.71,63.22,65.59,0.75,97.59,True,True
COc1ccncc1CC(=O)NNc1ccc(Br)c(Cl)c1,370.63,3.19,2,4,2,63.25,5,0.79,0,2.34,False,True,False,-3.75,0.8,-4.67,0.76,47.52,27.44,0.96,87.39,True,True
N#Cc1ccc(CNCC(=O)Nc2ccc(Cl)cc2)cn1,300.75,2.33,2,4,2,77.81,5,0.89,0,2.05,False,False,False,-4.35,0.49,-4.74,0.84,46.36,22.1,0.89,89.96,False,True
Cc1cnc(CCNc2ccc([N+](=O)[O-])c(I)c2)cn1,384.18,2.95,1,5,2,80.95,5,0.49,0,2.61,False,True,False,-3.96,0.47,-4.83,0.92,76.51,54.28,0.98,89.35,True,True
Cc1cc(CNS(=O)(=O)c2csnc2-c2cccc(C(F)(F)F)c2)ccc1Cl,446.9,5.27,1,4,3,59.06,5,0.58,0,2.62,False,False,False,-5.45,0.76,-5.02,0.87,82.8,83.98,0.94,101.0,True,True
O=S1(=O)CCC(NC(=S)NNc2ncc(Cl)cn2)C1,321.82,0.11,3,6,1,96.01,3,0.53,0,3.23,False,True,False,-2.97,0.06,-5.19,0.64,20.59,7.51,0.36,71.51,True,True
Oc1ncc(-c2nc(CSCc3ccc(Cl)cc3)no2)o1,323.76,3.52,1,7,3,85.18,5,0.77,0,2.82,False,False,False,-3.92,0.4,-4.77,0.6,72.56,37.37,0.92,96.79,False,True
Fc1cnc(NCc2ncc(I)s2)nc1,336.13,2.29,1,5,2,50.7,3,0.87,0,3.02,False,True,False,-3.81,0.17,-4.75,0.89,78.57,50.15,0.92,91.04,True,True
CS(=O)(=O)C1(c2nc(Nc3ccccc3)no2)CCOCC1,323.37,1.86,1,7,2,94.32,4,0.92,0,2.89,False,False,False,-3.12,0.27,-4.8,0.92,24.7,8.7,0.93,80.57,False,True
Cc1cccc(CNC(=O)NCc2nc(-c3nccs3)cs2)c1Cl,378.91,4.23,2,5,3,66.91,5,0.7,0,2.53,False,False,False,-4.12,0.74,-5.04,0.87,103.44,85.94,0.97,97.6,False,True
Nc1nc(C2CCCC2)ncc1C(=O)NC1(C(=O)O)CCSCC1,350.44,1.8,3,6,1,118.2,4,0.76,0,2.88,False,False,False,-3.41,0.03,-5.51,0.56,4.97,3.17,0.28,77.89,False,True
COc1ccc(COc2ncccc2CS(=O)(=O)CC(O)c2ccccc2)cc1,413.5,3.32,1,6,3,85.72,9,0.58,0,2.71,False,False,False,-3.9,0.71,-4.79,0.63,78.98,52.7,0.81,97.22,False,True
COC(=O)N=S1(=O)CCN(C(=O)Nc2ccc(SCCN3CCCC3)cc2)CC1,440.59,2.96,1,6,1,91.31,5,0.71,0,2.87,False,False,False,-2.5,0.42,-5.26,0.79,-5.72,7.18,0.55,64.44,False,False
CC(CN(C)C(C)(C(N)=O)c1ccncc1)C1CCC(F)(F)CC1,339.43,3.18,1,3,1,59.22,6,0.87,0,3.97,False,False,False,-2.77,0.86,-4.71,0.85,28.68,16.45,0.96,57.84,False,True
CS(=O)(=O)NC(=O)Nc1ccccc1NC1CCCCC1,311.41,2.51,3,4,1,87.3,4,0.8,0,2.11,False,False,False,-3.61,0.38,-4.83,0.85,11.65,-0.08,0.86,86.91,False,False
CC(C)c1cnc(Cl)cc1NCCOc1ccc2c(c1)OCO2,334.8,4.08,1,5,2,52.61,6,0.64,0,2.44,False,True,False,-5.13,0.91,-4.78,0.87,114.78,105.21,0.94,99.57,True,True
CC1CC(n2cc(-c3ccccc3Cl)nn2)CC(C)S1(=O)=O,339.85,3.13,0,4,2,64.85,2,0.84,0,3.77,False,False,False,-3.95,0.35,-4.54,0.93,54.89,36.64,0.97,87.55,False,True
Cc1cncc(CCC(=O)Nc2ncc(C(F)(F)F)cn2)c1,310.28,2.77,1,4,2,67.77,4,0.94,0,2.38,False,False,False,-3.42,0.34,-4.77,0.78,67.85,43.41,0.97,86.48,False,True
COc1ccc(CN(Cc2ccccc2)c2nc(OC)nc(OC)c2I)cc1,491.33,4.31,0,6,3,56.71,8,0.44,0,2.43,False,True,False,-6.25,0.85,-5.0,0.89,153.24,152.87,0.97,105.04,True,True
Cc1cc(CCNC(=O)c2ccccc2C(=O)c2cccs2)cc(C)c1O,379.48,4.27,2,4,3,66.4,6,0.63,0,2.17,False,False,False,-4.64,0.7,-4.84,0.56,115.65,101.78,0.88,99.91,False,True
O=C(CSc1cnc2ccccc2n1)NC1(C(F)(F)F)CS(=O)(=O)C1,391.4,1.57,1,6,2,89.02,4,0.8,0,2.99,False,False,False,-2.58,0.03,-4.93,0.7,17.01,17.21,0.76,83.04,False,True
COCc1cc(CNc2nocc2C)ccc1Br,311.18,3.5,1,4,2,47.29,5,0.92,0,2.66,False,False,False,-3.96,0.72,-4.69,0.95,114.72,90.08,0.98,90.3,False,True
CS(=O)(=O)C1CCC(Sc2ccc(C(=O)Cc3ccc(Cl)cc3)cc2C(F)(F)F)C1,476.97,5.84,0,4,2,51.21,6,0.49,0,3.42,False,False,False,-5.82,0.56,-4.58,0.81,34.69,34.22,0.88,100.58,True,True
CC(=NNc1c(Cl)cccc1Cl)c1cnc(-c2ncccn2)nc1C,373.25,4.38,1,6,3,75.95,4,0.54,0,2.64,False,True,False,-4.06,0.62,-4.94,0.81,61.94,56.91,0.97,88.5,True,True
COc1ccc(C=C(C(=O)NNC(=O)C2CCS(=O)(=O)C2)C(F)(F)F)cc1,406.38,1.22,2,5,1,101.57,4,0.58,0,3.18,False,True,True,-3.24,0.07,-4.97,0.64,14.15,16.02,0.41,79.27,True,True
O=C(OC(c1ccc(Br)cc1)c1ccns1)C1=CCCCCC1,392.32,5.43,0,4,2,39.19,4,0.65,0,3.38,False,False,False,-5.27,0.49,-4.85,0.82,138.12,123.7,0.92,100.62,True,True
CC1(C)CC1(Cl)S(=O)(=O)NCc1cccc(NC(=O)C2CCCCC2)c1,398.96,3.99,2,3,1,75.27,6,0.71,0,3.0,False,True,False,-5.22,0.76,-4.78,0.9,91.55,92.27,0.96,98.98,True,True
O=c1cc(NS(=O)(=O)C2CC(F)(F)C2)oc2ccc(Br)cc12,394.19,3.09,1,4,2,76.38,3,0.87,0,3.08,False,False,False,-4.71,0.35,-4.55,0.82,20.89,5.82,0.93,97.28,False,True
COc1ccccc1OCCC(=O)NCCc1ccc(C)cc1,313.4,3.13,1,3,2,47.56,8,0.81,0,1.65,False,False,False,-4.19,0.86,-4.55,0.98,131.9,100.52,0.98,94.59,False,True
O=C(Cn1nnn(-c2cccs2)c1=O)NCc1ccc2ccccc2c1,365.42,1.96,1,5,4,81.81,5,0.59,0,2.37,False,False,False,-5.21,0.54,-4.9,0.95,91.58,78.74,0.94,105.06,False,True
Clc1c(OCc2ccc3c(c2)COC3)ccc2cc(Br)ccc12,389.68,5.86,0,2,3,18.46,3,0.56,0,2.34,False,False,False,-6.43,0.59,-4.81,0.94,108.49,96.54,0.92,99.79,True,True
NC(=O)c1nc(CNC(=O)Nc2ncc(C3CCC3)o2)no1,306.28,0.75,3,7,2,149.17,5,0.74,0,2.99,False,False,False,-4.03,0.11,-5.03,0.92,29.08,25.88,0.9,88.19,True,True
CC(C)(C(=O)Oc1ccc(F)c(F)c1)c1cscc1Cl,316.76,4.56,0,3,2,26.3,3,0.61,0,2.74,False,True,False,-5.23,0.27,-4.25,0.9,138.62,116.88,0.97,93.73,True,True
CN(C(=O)Cn1cnc(C(F)(F)F)n1)c1cccc(Cl)c1Cl,353.13,3.27,0,3,2,51.02,3,0.85,0,2.71,False,False,False,-3.33,0.2,-4.53,0.92,32.53,27.88,0.98,81.83,False,True
COc1nc(NC2CN(Cc3ccccc3)CCC2CO)nnc1Cl,363.85,1.83,2,7,2,83.4,6,0.81,0,3.36,False,False,False,-3.19,0.72,-5.35,0.9,20.34,23.72,0.88,81.84,False,True
CCCc1ccc(CCSc2nc3cc(Cl)ccn3c2[N+](=O)[O-])cc1,375.88,5.18,0,4,3,60.44,7,0.32,0,2.64,False,True,False,-6.52,0.65,-4.83,0.84,141.35,135.11,0.93,104.99,True,True
NS(=O)(=O)C1CCN(Cc2ccncc2-c2ccccc2)C1,317.41,1.61,1,4,2,76.29,4,0.93,0,2.75,False,False,False,-1.86,0.87,-5.36,0.96,19.88,14.11,0.92,61.27,False,True
CC1(NC(=O)Cc2ncc3ccc(Br)cn23)CCC(NS(C)(=O)=O)CC1,443.37,2.01,2,4,2,92.57,5,0.74,0,3.12,False,False,False,-2.61,0.44,-5.2,0.85,17.81,11.23,0.9,70.82,False,True
Cc1ccc(CNC(=O)CCc2scnc2C)cc1Cl,308.83,3.66,1,3,2,41.99,5,0.92,0,2.14,False,False,False,-3.83,0.8,-4.68,0.97,123.73,91.11,0.98,91.12,False,True
CC(C)(C)c1ncc(COC(=O)Cc2cc(I)cc(I)c2)o1,525.12,4.47,0,4,2,52.33,4,0.44,0,2.95,False,True,False,-6.09,0.37,-4.74,0.87,96.49,98.58,0.98,100.07,True,True
